County,Size
"Henry County, Iowa",434.33
"Howard County, Iowa",473.25
"Humboldt County, Iowa",434.35
"Ida County, Iowa",431.51
"Iowa County, Iowa",586.46
"Jackson County, Iowa",636.04
"Jasper County, Iowa",730.42
"Jefferson County, Iowa",435.51
"Johnson County, Iowa",614.04
"Jones County, Iowa",575.62
"Keokuk County, Iowa",579.18
"Kossuth County, Iowa",972.72
"Lee County, Iowa",517.52
"Linn County, Iowa",716.88
"Louisa County, Iowa",401.77
"Lucas County, Iowa",430.59
"Lyon County, Iowa",587.65
"Madison County, Iowa",561.01
"Mahaska County, Iowa",570.86
"Marion County, Iowa",554.53
"Marshall County, Iowa",572.5
"Mills County, Iowa",437.44
"Mitchell County, Iowa",469.13
"Monona County, Iowa",694.07
"Monroe County, Iowa",433.72
"Montgomery County, Iowa",424.1
"Muscatine County, Iowa",437.47
"O'Brien County, Iowa",573.04
"Osceola County, Iowa",398.68
"Page County, Iowa",534.94
"Palo Alto County, Iowa",563.84
"Plymouth County, Iowa",862.89
"Pocahontas County, Iowa",577.24
"Polk County, Iowa",573.8
"Pottawattamie County, Iowa",950.28
"Poweshiek County, Iowa",584.93
"Ringgold County, Iowa",535.5
"Sac County, Iowa",575.01
"Scott County, Iowa",458.09
"Shelby County, Iowa",590.78
"Sioux County, Iowa",768.33
"Story County, Iowa",572.82
"Tama County, Iowa",721.01
"Taylor County, Iowa",531.9
"Union County, Iowa",423.65
"Van Buren County, Iowa",484.79
"Wapello County, Iowa",431.83
"Warren County, Iowa",569.83
"Washington County, Iowa",568.84
"Wayne County, Iowa",525.44
"Webster County, Iowa",715.62
"Winnebago County, Iowa",400.49
"Winneshiek County, Iowa",689.87
"Woodbury County, Iowa",872.83
"Worth County, Iowa",400.12
"Wright County, Iowa",580.42
"Allen County, Kansas",500.30
"Anderson County, Kansas",579.65
"Atchison County, Kansas",431.17
"Barber County, Kansas","1,134.07"
"Barton County, Kansas",895.40
"Bourbon County, Kansas",635.47
"Brown County, Kansas",570.87
"Butler County, Kansas","1,429.86"
"Chase County, Kansas",773.06
"Chautauqua County, Kansas",638.88
"Cherokee County, Kansas",587.57
"Cheyenne County, Kansas","1,019.89"
"Clark County, Kansas",974.63
"Clay County, Kansas",645.30
"Cloud County, Kansas",715.34
"Coffey County, Kansas",626.95
"Comanche County, Kansas",788.30
"Cowley County, Kansas","1,125.75"
"Crawford County, Kansas",589.76
"Decatur County, Kansas",893.52
"Dickinson County, Kansas",847.07
"Doniphan County, Kansas",393.41
"Douglas County, Kansas",455.87
"Edwards County, Kansas",621.89
"Elk County, Kansas",644.27
"Ellis County, Kansas",899.91
"Ellsworth County, Kansas",715.85
"Finney County, Kansas","1,301.97"
"Ford County, Kansas","1,098.27"
"Franklin County, Kansas",571.76
"Geary County, Kansas",384.62
"Gove County, Kansas","1,071.67"
"Graham County, Kansas",898.52
"Grant County, Kansas",574.80
"Gray County, Kansas",868.87
"Greeley County, Kansas",778.45
"Greenwood County, Kansas","1,143.30"
"Hamilton County, Kansas",996.51
"Harper County, Kansas",801.27
"Harvey County, Kansas",539.75
"Haskell County, Kansas",577.52
"Hodgeman County, Kansas",859.99
"Jackson County, Kansas",656.22
"Jefferson County, Kansas",532.57
"Jewell County, Kansas",909.78
"Johnson County, Kansas",473.38
"Kearny County, Kansas",870.54
"Kingman County, Kansas",863.36
"Kiowa County, Kansas",722.64
"Labette County, Kansas",645.30
"Lane County, Kansas",717.46
"Leavenworth County, Kansas",462.83
"Lincoln County, Kansas",719.40
"Linn County, Kansas",594.06
"Logan County, Kansas","1,072.99"
"Lyon County, Kansas",847.47
"Marion County, Kansas",944.29
"Marshall County, Kansas",900.18
"McPherson County, Kansas",898.27
"Meade County, Kansas",978.09
"Miami County, Kansas",575.66
"Mitchell County, Kansas",701.79
"Montgomery County, Kansas",643.53
"Morris County, Kansas",695.28
"Morton County, Kansas",729.73
"Nemaha County, Kansas",717.43
"Neosho County, Kansas",571.47
"Ness County, Kansas","1,074.75"
"Norton County, Kansas",878.13
"Osage County, Kansas",705.52
"Osborne County, Kansas",892.50
"Ottawa County, Kansas",720.73
"Pawnee County, Kansas",754.26
"Phillips County, Kansas",885.88
"Pottawatomie County, Kansas",841.02
"Pratt County, Kansas",735.05
"Rawlins County, Kansas","1,069.42"
"Reno County, Kansas","1,255.35"
"Republic County, Kansas",717.37
"Rice County, Kansas",726.24
"Riley County, Kansas",609.77
"Rooks County, Kansas",890.53
"Rush County, Kansas",717.76
"Russell County, Kansas",886.26
"Saline County, Kansas",720.23
"Scott County, Kansas",717.54
"Sedgwick County, Kansas",997.51
"Seward County, Kansas",639.50
"Shawnee County, Kansas",544.02
"Sheridan County, Kansas",895.96
"Sherman County, Kansas","1,056.07"
"Smith County, Kansas",895.47
"Stafford County, Kansas",792.05
"Stanton County, Kansas",680.35
"Stevens County, Kansas",727.29
"Sumner County, Kansas","1,181.94"
"Thomas County, Kansas","1,074.69"
"Trego County, Kansas",889.48
"Wabaunsee County, Kansas",794.30
"Wallace County, Kansas",913.65
"Washington County, Kansas",894.76
"Wichita County, Kansas",718.57
"Wilson County, Kansas",570.42
"Woodson County, Kansas",497.82
"Wyandotte County, Kansas",151.60
"Adair County, Kentucky",405.28
"Allen County, Kentucky",344.34
"Anderson County, Kentucky",201.83
"Ballard County, Kentucky",246.66
"Barren County, Kentucky",487.54
"Bath County, Kentucky",278.79
"Bell County, Kentucky",359.0
"Boone County, Kentucky",246.36
"Bourbon County, Kentucky",289.72
"Boyd County, Kentucky",159.86
"Boyle County, Kentucky",180.17
"Bracken County, Kentucky",205.61
"Breathitt County, Kentucky",492.41
"Breckinridge County, Kentucky",567.17
"Bullitt County, Kentucky",297.02
"Butler County, Kentucky",426.09
"Caldwell County, Kentucky",344.79
"Calloway County, Kentucky",385.02
"Campbell County, Kentucky",151.31
"Carlisle County, Kentucky",189.43
"Carroll County, Kentucky",128.57
"Carter County, Kentucky",409.5
"Casey County, Kentucky",444.23
"Christian County, Kentucky",717.5
"Clark County, Kentucky",252.46
"Clay County, Kentucky",469.25
"Clinton County, Kentucky",197.25
"Crittenden County, Kentucky",359.95
"Cumberland County, Kentucky",305.18
"Daviess County, Kentucky",458.35
"Edmonson County, Kentucky",302.88
"Elliott County, Kentucky",234.32
"Estill County, Kentucky",253.08
"Fayette County, Kentucky",283.65
"Fleming County, Kentucky",348.54
"Floyd County, Kentucky",393.35
"Franklin County, Kentucky",207.75
"Fulton County, Kentucky",205.5
"Gallatin County, Kentucky",101.23
"Garrard County, Kentucky",230.08
"Grant County, Kentucky",257.97
"Graves County, Kentucky",551.74
"Grayson County, Kentucky",496.7
"Green County, Kentucky",286.03
"Greenup County, Kentucky",344.4
"Hancock County, Kentucky",187.65
"Hardin County, Kentucky",623.28
"Harlan County, Kentucky",465.83
"Harrison County, Kentucky",306.36
"Hart County, Kentucky",412.09
"Henderson County, Kentucky",436.67
"Henry County, Kentucky",286.28
"Hickman County, Kentucky",242.27
"Hopkins County, Kentucky",542.0
"Jackson County, Kentucky",345.2
"Jefferson County, Kentucky",380.42
"Jessamine County, Kentucky",172.12
"Johnson County, Kentucky",261.95
"Kenton County, Kentucky",160.25
"Knott County, Kentucky",351.52
"Knox County, Kentucky",386.3
"Larue County, Kentucky",261.52
"Laurel County, Kentucky",433.95
"Lawrence County, Kentucky",415.6
"Lee County, Kentucky",208.86
"Leslie County, Kentucky",400.84
"Letcher County, Kentucky",337.91
"Lewis County, Kentucky",482.84
"Lincoln County, Kentucky",334.1
"Livingston County, Kentucky",313.13
"Logan County, Kentucky",552.13
"Lyon County, Kentucky",213.84
"Madison County, Kentucky",437.29
"Magoffin County, Kentucky",308.44
"Marion County, Kentucky",343.01
"Marshall County, Kentucky",301.25
"Martin County, Kentucky",229.61
"Mason County, Kentucky",240.13
"McCracken County, Kentucky",248.74
"McCreary County, Kentucky",426.8
"McLean County, Kentucky",252.47
"Meade County, Kentucky",305.42
"Menifee County, Kentucky",203.59
"Mercer County, Kentucky",248.8
"Metcalfe County, Kentucky",289.65
"Monroe County, Kentucky",329.37
"Montgomery County, Kentucky",197.37
"Morgan County, Kentucky",381.13
"Muhlenberg County, Kentucky",467.08
"Nelson County, Kentucky",417.51
"Nicholas County, Kentucky",195.17
"Ohio County, Kentucky",587.27
"Oldham County, Kentucky",187.22
"Owen County, Kentucky",351.1
"Owsley County, Kentucky",197.41
"Pendleton County, Kentucky",277.16
"Perry County, Kentucky",339.67
"Pike County, Kentucky",786.83
"Powell County, Kentucky",178.98
"Pulaski County, Kentucky",658.41
"Robertson County, Kentucky",99.91
"Rockcastle County, Kentucky",316.55
"Rowan County, Kentucky",279.8
"Russell County, Kentucky",253.66
"Scott County, Kentucky",281.77
"Shelby County, Kentucky",379.64
"Simpson County, Kentucky",234.2
"Spencer County, Kentucky",186.68
"Taylor County, Kentucky",266.33
"Todd County, Kentucky",374.5
"Trigg County, Kentucky",441.43
"Trimble County, Kentucky",151.65
"Union County, Kentucky",342.85
"Warren County, Kentucky",541.6
"Washington County, Kentucky",297.27
"Wayne County, Kentucky",458.17
"Webster County, Kentucky",331.94
"Whitley County, Kentucky",437.83
"Wolfe County, Kentucky",222.17
"Woodford County, Kentucky",188.78
"Acadia County, Louisiana",655.12
"Allen County, Louisiana",761.85
"Ascension County, Louisiana",289.98
"Assumption County, Louisiana",338.66
"Avoyelles County, Louisiana",832.43
"Beauregard County, Louisiana","1,157.34"
"Bienville County, Louisiana",811.27
"Bossier County, Louisiana",840.06
"Caddo County, Louisiana",878.54
"Calcasieu County, Louisiana","1,063.66"
"Caldwell County, Louisiana",529.43
"Cameron County, Louisiana","1,284.89"
"Catahoula County, Louisiana",708.03
"Claiborne County, Louisiana",754.88
"Concordia County, Louisiana",696.92
"De Soto County, Louisiana",875.58
"East Baton Rouge County, Louisiana",455.37
"East Carroll County, Louisiana",420.70
"East Feliciana County, Louisiana",453.41
"Evangeline County, Louisiana",662.38
"Franklin County, Louisiana",624.59
"Grant County, Louisiana",643.03
"Iberia County, Louisiana",574.11
"Iberville County, Louisiana",618.63
"Jackson County, Louisiana",569.18
"Jefferson Davis County, Louisiana",651.33
"Jefferson County, Louisiana",295.63
"La Salle County, Louisiana",624.68
"Lafayette County, Louisiana",268.72
"Lafourche County, Louisiana","1,068.21"
"Lincoln County, Louisiana",471.74
"Livingston County, Louisiana",648.17
"Madison County, Louisiana",624.44
"Morehouse County, Louisiana",794.93
"Natchitoches County, Louisiana","1,252.25"
"Orleans County, Louisiana",169.42
"Ouachita County, Louisiana",610.41
"Plaquemines County, Louisiana",779.91
"Pointe Coupee County, Louisiana",557.35
"Rapides County, Louisiana","1,317.96"
"Red River County, Louisiana",389.09
"Richland County, Louisiana",559.04
"Sabine County, Louisiana",866.66
"St. Bernard County, Louisiana",377.52
"St. Charles County, Louisiana",279.08
"St. Helena County, Louisiana",408.40
"St. James County, Louisiana",241.54
"St. John the Baptist County, Louisiana",213.07
"St. Landry County, Louisiana",923.88
"St. Martin County, Louisiana",737.65
"St. Mary County, Louisiana",555.38
"St. Tammany County, Louisiana",845.55
"Tangipahoa County, Louisiana",791.28
"Tensas County, Louisiana",602.78
"Terrebonne County, Louisiana","1,231.82"
"Union County, Louisiana",876.99
"Vermilion County, Louisiana","1,173.20"
"Vernon County, Louisiana","1,327.91"
"Washington County, Louisiana",669.53
"Webster County, Louisiana",593.03
"West Baton Rouge County, Louisiana",192.39
"West Carroll County, Louisiana",359.65
"West Feliciana County, Louisiana",403.21
"Winn County, Louisiana",950.09
"Androscoggin County, Maine",467.93
"Aroostook County, Maine","6,671.33"
"Cumberland County, Maine",835.24
"Franklin County, Maine","1,696.61"
"Hancock County, Maine","1,586.89"
"Kennebec County, Maine",867.52
"Knox County, Maine",365.13
"Lincoln County, Maine",455.82
"Oxford County, Maine","2,076.84"
"Penobscot County, Maine","3,397.36"
"Piscataquis County, Maine","3,960.86"
"Sagadahoc County, Maine",253.70
"Somerset County, Maine","3,924.40"
"Waldo County, Maine",729.92
"Washington County, Maine","2,562.66"
"York County, Maine",990.71
"Allegany County, Maryland",424.16
"Anne Arundel County, Maryland",414.9
"Baltimore County, Maryland",598.3
"Baltimore city County, Maryland",80.94
"Calvert County, Maryland",213.15
"Caroline County, Maryland",319.42
"Carroll County, Maryland",447.6
"Cecil County, Maryland",346.27
"Charles County, Maryland",457.75
"Dorchester County, Maryland",540.77
"Frederick County, Maryland",660.22
"Garrett County, Maryland",647.1
"Harford County, Maryland",437.09
"Howard County, Maryland",250.74
"Kent County, Maryland",277.03
"Montgomery County, Maryland",491.25
"Prince George's County, Maryland",482.69
"Queen Anne's County, Maryland",371.91
"Somerset County, Maryland",319.72
"St. Mary's County, Maryland",357.18
"Talbot County, Maryland",268.54
"Washington County, Maryland",457.78
"Wicomico County, Maryland",374.44
"Worcester County, Maryland",468.28
"Barnstable County, Massachusetts",393.72
"Berkshire County, Massachusetts",926.83
"Bristol County, Massachusetts",553.10
"Dukes County, Massachusetts",103.25
"Essex County, Massachusetts",492.56
"Franklin County, Massachusetts",699.32
"Hampden County, Massachusetts",617.14
"Hampshire County, Massachusetts",527.26
"Middlesex County, Massachusetts",817.82
"Nantucket County, Massachusetts",44.97
"Norfolk County, Massachusetts",396.11
"Plymouth County, Massachusetts",659.08
"Suffolk County, Massachusetts",58.15
"Worcester County, Massachusetts","1,510.77"
"Alcona County, Michigan",674.59
"Alger County, Michigan",915.07
"Allegan County, Michigan",825.23
"Alpena County, Michigan",571.86
"Antrim County, Michigan",475.70
"Arenac County, Michigan",363.19
"Baraga County, Michigan",898.26
"Barry County, Michigan",553.09
"Bay County, Michigan",442.30
"Benzie County, Michigan",319.70
"Berrien County, Michigan",567.75
"Branch County, Michigan",506.37
"Calhoun County, Michigan",706.23
"Cass County, Michigan",490.06
"Charlevoix County, Michigan",416.34
"Cheboygan County, Michigan",715.26
"Chippewa County, Michigan","1,558.42"
"Clare County, Michigan",564.32
"Clinton County, Michigan",566.41
"Crawford County, Michigan",556.28
"Delta County, Michigan","1,171.10"
"Dickinson County, Michigan",761.40
"Eaton County, Michigan",575.18
"Emmet County, Michigan",467.49
"Genesee County, Michigan",636.98
"Gladwin County, Michigan",501.78
"Gogebic County, Michigan","1,101.85"
"Grand Traverse County, Michigan",464.33
"Gratiot County, Michigan",568.46
"Hillsdale County, Michigan",598.13
"Houghton County, Michigan","1,009.10"
"Huron County, Michigan",835.71
"Ingham County, Michigan",556.12
"Ionia County, Michigan",571.30
"Iosco County, Michigan",549.10
"Iron County, Michigan","1,166.15"
"Isabella County, Michigan",572.68
"Jackson County, Michigan",701.67
"Kalamazoo County, Michigan",561.66
"Kalkaska County, Michigan",559.87
"Kent County, Michigan",846.95
"Keweenaw County, Michigan",540.11
"Lake County, Michigan",567.37
"Lapeer County, Michigan",643.01
"Leelanau County, Michigan",347.17
"Lenawee County, Michigan",749.56
"Livingston County, Michigan",565.25
"Luce County, Michigan",899.08
"Mackinac County, Michigan","1,021.57"
"Macomb County, Michigan",479.22
"Manistee County, Michigan",542.15
"Marquette County, Michigan","1,808.40"
"Mason County, Michigan",495.07
"Mecosta County, Michigan",555.07
"Menominee County, Michigan","1,044.08"
"Midland County, Michigan",516.25
"Missaukee County, Michigan",564.73
"Monroe County, Michigan",549.39
"Montcalm County, Michigan",705.40
"Montmorency County, Michigan",546.66
"Muskegon County, Michigan",499.25
"Newaygo County, Michigan",813.20
"Oakland County, Michigan",867.66
"Oceana County, Michigan",512.07
"Ogemaw County, Michigan",563.49
"Ontonagon County, Michigan","1,311.23"
"Osceola County, Michigan",566.39
"Oscoda County, Michigan",565.73
"Otsego County, Michigan",514.97
"Ottawa County, Michigan",563.47
"Presque Isle County, Michigan",658.72
"Roscommon County, Michigan",519.64
"Saginaw County, Michigan",800.11
"Sanilac County, Michigan",962.57
"Schoolcraft County, Michigan","1,171.36"
"Shiawassee County, Michigan",530.67
"St. Clair County, Michigan",721.17
"St. Joseph County, Michigan",500.59
"Tuscola County, Michigan",803.13
"Van Buren County, Michigan",607.47
"Washtenaw County, Michigan",705.97
"Wayne County, Michigan",612.08
"Wexford County, Michigan",565.00
"Aitkin County, Minnesota","1,821.66"
"Anoka County, Minnesota",423.01
"Becker County, Minnesota","1,315.20"
"Beltrami County, Minnesota","2,504.94"
"Benton County, Minnesota",408.30
"Big Stone County, Minnesota",499.02
"Blue Earth County, Minnesota",747.84
"Brown County, Minnesota",611.09
"Carlton County, Minnesota",861.38
"Carver County, Minnesota",354.33
"Cass County, Minnesota","2,021.54"
"Chippewa County, Minnesota",581.12
"Chisago County, Minnesota",414.86
"Clay County, Minnesota","1,045.37"
"Clearwater County, Minnesota",998.94
"Cook County, Minnesota","1,452.28"
"Cottonwood County, Minnesota",638.61
"Crow Wing County, Minnesota",999.10
"Dakota County, Minnesota",562.17
"Dodge County, Minnesota",439.28
"Douglas County, Minnesota",637.30
"Faribault County, Minnesota",712.48
"Fillmore County, Minnesota",861.30
"Freeborn County, Minnesota",707.09
"Goodhue County, Minnesota",756.84
"Grant County, Minnesota",548.16
"Hennepin County, Minnesota",553.59
"Houston County, Minnesota",552.06
"Hubbard County, Minnesota",925.68
"Isanti County, Minnesota",435.79
"Itasca County, Minnesota","2,667.72"
"Jackson County, Minnesota",702.98
"Kanabec County, Minnesota",521.59
"Kandiyohi County, Minnesota",796.79
"Kittson County, Minnesota","1,098.80"
"Koochiching County, Minnesota","3,104.07"
"Lac qui Parle County, Minnesota",765.02
"Lake County, Minnesota","2,109.29"
"Lake of the Woods County, Minnesota","1,297.87"
"Le Sueur County, Minnesota",448.76
"Lincoln County, Minnesota",536.76
"Lyon County, Minnesota",714.56
"Mahnomen County, Minnesota",557.88
"Marshall County, Minnesota","1,775.07"
"Martin County, Minnesota",712.35
"McLeod County, Minnesota",491.47
"Meeker County, Minnesota",608.18
"Mille Lacs County, Minnesota",572.31
"Morrison County, Minnesota","1,125.06"
"Mower County, Minnesota",711.33
"Murray County, Minnesota",704.70
"Nicollet County, Minnesota",448.49
"Nobles County, Minnesota",715.11
"Norman County, Minnesota",872.79
"Olmsted County, Minnesota",653.35
"Otter Tail County, Minnesota","1,972.07"
"Pennington County, Minnesota",616.57
"Pine County, Minnesota","1,411.29"
"Pipestone County, Minnesota",465.06
"Polk County, Minnesota","1,971.13"
"Pope County, Minnesota",669.71
"Ramsey County, Minnesota",152.21
"Red Lake County, Minnesota",432.41
"Redwood County, Minnesota",878.57
"Renville County, Minnesota",982.91
"Rice County, Minnesota",495.68
"Rock County, Minnesota",482.46
"Roseau County, Minnesota","1,671.60"
"Scott County, Minnesota",356.48
"Sherburne County, Minnesota",432.92
"Sibley County, Minnesota",588.78
"St. Louis County, Minnesota","6,247.40"
"Stearns County, Minnesota","1,343.13"
"Steele County, Minnesota",429.65
"Stevens County, Minnesota",563.60
"Swift County, Minnesota",742.08
"Todd County, Minnesota",944.98
"Traverse County, Minnesota",573.90
"Wabasha County, Minnesota",522.98
"Wadena County, Minnesota",536.27
"Waseca County, Minnesota",423.36
"Washington County, Minnesota",384.28
"Watonwan County, Minnesota",434.95
"Wilkin County, Minnesota",750.96
"Winona County, Minnesota",626.21
"Wright County, Minnesota",661.46
"Yellow Medicine County, Minnesota",759.10
"Adams County, Mississippi",462.41
"Alcorn County, Mississippi",400.04
"Amite County, Mississippi",730.1
"Attala County, Mississippi",734.98
"Benton County, Mississippi",406.62
"Bolivar County, Mississippi",876.57
"Calhoun County, Mississippi",586.57
"Carroll County, Mississippi",628.24
"Chickasaw County, Mississippi",501.78
"Choctaw County, Mississippi",418.18
"Claiborne County, Mississippi",487.41
"Clarke County, Mississippi",691.55
"Clay County, Mississippi",410.08
"Coahoma County, Mississippi",552.44
"Copiah County, Mississippi",777.24
"Covington County, Mississippi",413.79
"DeSoto County, Mississippi",476.15
"Forrest County, Mississippi",466.31
"Franklin County, Mississippi",563.78
"George County, Mississippi",478.71
"Greene County, Mississippi",712.76
"Grenada County, Mississippi",422.11
"Hancock County, Mississippi",473.75
"Harrison County, Mississippi",573.99
"Hinds County, Mississippi",869.74
"Holmes County, Mississippi",756.7
"Humphreys County, Mississippi",418.49
"Issaquena County, Mississippi",413.05
"Itawamba County, Mississippi",532.79
"Jackson County, Mississippi",722.75
"Jasper County, Mississippi",676.24
"Jefferson County, Mississippi",519.93
"Jefferson Davis County, Mississippi",408.44
"Jones County, Mississippi",694.8
"Kemper County, Mississippi",766.18
"Lafayette County, Mississippi",631.71
"Lamar County, Mississippi",497.06
"Lauderdale County, Mississippi",703.63
"Lawrence County, Mississippi",430.67
"Leake County, Mississippi",583.0
"Lee County, Mississippi",449.95
"Leflore County, Mississippi",592.54
"Lincoln County, Mississippi",586.12
"Lowndes County, Mississippi",505.51
"Madison County, Mississippi",714.51
"Marion County, Mississippi",542.38
"Marshall County, Mississippi",706.19
"Monroe County, Mississippi",765.09
"Montgomery County, Mississippi",406.98
"Neshoba County, Mississippi",570.14
"Newton County, Mississippi",578.1
"Noxubee County, Mississippi",695.14
"Oktibbeha County, Mississippi",458.2
"Panola County, Mississippi",685.14
"Pearl River County, Mississippi",810.86
"Perry County, Mississippi",647.25
"Pike County, Mississippi",409.02
"Pontotoc County, Mississippi",497.69
"Prentiss County, Mississippi",414.98
"Quitman County, Mississippi",405.01
"Rankin County, Mississippi",775.49
"Scott County, Mississippi",609.19
"Sharkey County, Mississippi",431.72
"Simpson County, Mississippi",589.16
"Smith County, Mississippi",636.25
"Stone County, Mississippi",445.49
"Sunflower County, Mississippi",697.75
"Tallahatchie County, Mississippi",645.29
"Tate County, Mississippi",404.76
"Tippah County, Mississippi",457.82
"Tishomingo County, Mississippi",424.25
"Tunica County, Mississippi",454.67
"Union County, Mississippi",415.6
"Walthall County, Mississippi",403.94
"Warren County, Mississippi",588.5
"Washington County, Mississippi",724.74
"Wayne County, Mississippi",810.75
"Webster County, Mississippi",420.94
"Wilkinson County, Mississippi",678.11
"Winston County, Mississippi",607.25
"Yalobusha County, Mississippi",467.13
"Yazoo County, Mississippi",922.95
"Adair County, Missouri",567.32
"Andrew County, Missouri",432.70
"Atchison County, Missouri",547.30
"Audrain County, Missouri",692.24
"Barry County, Missouri",778.25
"Barton County, Missouri",591.92
"Bates County, Missouri",836.69
"Benton County, Missouri",704.06
"Bollinger County, Missouri",617.91
"Boone County, Missouri",685.41
"Buchanan County, Missouri",408.03
"Butler County, Missouri",694.67
"Caldwell County, Missouri",426.39
"Callaway County, Missouri",834.58
"Camden County, Missouri",655.92
"Cape Girardeau County, Missouri",578.54
"Carroll County, Missouri",694.62
"Carter County, Missouri",507.36
"Cass County, Missouri",696.84
"Cedar County, Missouri",474.48
"Chariton County, Missouri",751.18
"Christian County, Missouri",562.65
"Clark County, Missouri",504.69
"Clay County, Missouri",397.30
"Clinton County, Missouri",418.96
"Cole County, Missouri",393.75
"Cooper County, Missouri",564.77
"Crawford County, Missouri",742.52
"Dade County, Missouri",490.01
"Dallas County, Missouri",540.77
"Daviess County, Missouri",563.24
"DeKalb County, Missouri",421.36
"Dent County, Missouri",752.79
"Douglas County, Missouri",813.63
"Dunklin County, Missouri",541.07
"Franklin County, Missouri",922.68
"Gasconade County, Missouri",517.80
"Gentry County, Missouri",491.42
"Greene County, Missouri",675.30
"Grundy County, Missouri",435.28
"Harrison County, Missouri",722.50
"Henry County, Missouri",696.95
"Hickory County, Missouri",399.09
"Holt County, Missouri",462.69
"Howard County, Missouri",463.85
"Howell County, Missouri",927.25
"Iron County, Missouri",550.26
"Jackson County, Missouri",604.46
"Jasper County, Missouri",638.49
"Jefferson County, Missouri",656.63
"Johnson County, Missouri",829.28
"Knox County, Missouri",504.01
"Laclede County, Missouri",764.72
"Lafayette County, Missouri",628.43
"Lawrence County, Missouri",611.74
"Lewis County, Missouri",505.04
"Lincoln County, Missouri",626.56
"Linn County, Missouri",615.56
"Livingston County, Missouri",532.33
"Macon County, Missouri",801.23
"Madison County, Missouri",494.39
"Maries County, Missouri",526.98
"Marion County, Missouri",436.92
"McDonald County, Missouri",539.48
"Mercer County, Missouri",453.84
"Miller County, Missouri",592.60
"Mississippi County, Missouri",411.58
"Moniteau County, Missouri",415.03
"Monroe County, Missouri",647.65
"Montgomery County, Missouri",536.25
"Morgan County, Missouri",597.63
"New Madrid County, Missouri",674.84
"Newton County, Missouri",624.77
"Nodaway County, Missouri",876.96
"Oregon County, Missouri",789.80
"Osage County, Missouri",604.35
"Ozark County, Missouri",744.97
"Pemiscot County, Missouri",492.54
"Perry County, Missouri",474.35
"Pettis County, Missouri",682.22
"Phelps County, Missouri",671.78
"Pike County, Missouri",670.44
"Platte County, Missouri",420.19
"Polk County, Missouri",635.52
"Pulaski County, Missouri",547.10
"Putnam County, Missouri",517.32
"Ralls County, Missouri",469.78
"Randolph County, Missouri",482.68
"Ray County, Missouri",568.81
"Reynolds County, Missouri",808.48
"Ripley County, Missouri",629.54
"Saline County, Missouri",755.50
"Schuyler County, Missouri",307.30
"Scotland County, Missouri",436.67
"Scott County, Missouri",419.99
"Shannon County, Missouri","1,003.82"
"Shelby County, Missouri",500.86
"St. Charles County, Missouri",560.44
"St. Clair County, Missouri",669.98
"St. Francois County, Missouri",451.89
"St. Louis County, Missouri",507.80
"St. Louis city County, Missouri",61.91
"Ste. Genevieve County, Missouri",499.15
"Stoddard County, Missouri",823.22
"Stone County, Missouri",464.03
"Sullivan County, Missouri",647.98
"Taney County, Missouri",632.44
"Texas County, Missouri","1,177.27"
"Vernon County, Missouri",826.40
"Warren County, Missouri",428.60
"Washington County, Missouri",759.91
"Wayne County, Missouri",759.18
"Webster County, Missouri",592.56
"Worth County, Missouri",266.61
"Wright County, Missouri",681.77
"Beaverhead County, Montana","5,541.62"
"Big Horn County, Montana","4,995.46"
"Blaine County, Montana","4,227.55"
"Broadwater County, Montana","1,192.54"
"Carbon County, Montana","2,048.79"
"Carter County, Montana","3,340.75"
"Cascade County, Montana","2,698.16"
"Chouteau County, Montana","3,972.49"
"Custer County, Montana","3,783.36"
"Daniels County, Montana","1,426.11"
"Dawson County, Montana","2,371.87"
"Deer Lodge County, Montana",736.53
"Fallon County, Montana","1,620.77"
"Fergus County, Montana","4,339.80"
"Flathead County, Montana","5,087.66"
"Gallatin County, Montana","2,602.69"
"Garfield County, Montana","4,675.36"
"Glacier County, Montana","2,995.94"
"Golden Valley County, Montana","1,175.34"
"Granite County, Montana","1,727.42"
"Hill County, Montana","2,898.96"
"Jefferson County, Montana","1,656.26"
"Judith Basin County, Montana","1,869.82"
"Lake County, Montana","1,490.15"
"Lewis and Clark County, Montana","3,458.83"
"Liberty County, Montana","1,430.05"
"Lincoln County, Montana","3,612.92"
"Madison County, Montana","3,587.48"
"McCone County, Montana","2,643.17"
"Meagher County, Montana","2,391.91"
"Mineral County, Montana","1,219.44"
"Missoula County, Montana","2,593.42"
"Musselshell County, Montana","1,868.16"
"Park County, Montana","2,803.06"
"Petroleum County, Montana","1,654.87"
"Phillips County, Montana","5,140.04"
"Pondera County, Montana","1,622.86"
"Powder River County, Montana","3,297.30"
"Powell County, Montana","2,326.39"
"Prairie County, Montana","1,736.74"
"Ravalli County, Montana","2,390.82"
"Richland County, Montana","2,084.14"
"Roosevelt County, Montana","2,354.79"
"Rosebud County, Montana","5,010.40"
"Sanders County, Montana","2,760.52"
"Sheridan County, Montana","1,677.08"
"Silver Bow County, Montana",718.48
"Stillwater County, Montana","1,795.35"
"Sweet Grass County, Montana","1,855.21"
"Teton County, Montana","2,272.38"
"Toole County, Montana","1,915.65"
"Treasure County, Montana",977.40
"Valley County, Montana","4,925.82"
"Wheatland County, Montana","1,423.20"
"Wibaux County, Montana",889.27
"Yellowstone County, Montana","2,633.29"
"Adams County, Nebraska",563.27
"Antelope County, Nebraska",857.22
