County,Size
"Searcy County, Arkansas",666.10
"Sebastian County, Arkansas",531.91
"Sevier County, Arkansas",565.13
"Sharp County, Arkansas",604.44
"St. Francis County, Arkansas",634.77
"Stone County, Arkansas",606.41
"Union County, Arkansas","1,039.21"
"Van Buren County, Arkansas",708.14
"Washington County, Arkansas",941.97
"White County, Arkansas","1,035.08"
"Woodruff County, Arkansas",586.79
"Yell County, Arkansas",929.98
"Alameda County, California",739.02
"Alpine County, California",738.33
"Amador County, California",594.58
"Butte County, California","1,636.46"
"Calaveras County, California","1,020.01"
"Colusa County, California","1,150.73"
"Contra Costa County, California",715.94
"Del Norte County, California","1,006.37"
"El Dorado County, California","1,707.88"
"Fresno County, California","5,957.99"
"Glenn County, California","1,313.95"
"Humboldt County, California","3,567.99"
"Imperial County, California","4,176.60"
"Inyo County, California","10,180.88"
"Kern County, California","8,131.92"
"Kings County, California","1,389.42"
"Lake County, California","1,256.46"
"Lassen County, California","4,541.18"
"Los Angeles County, California","4,057.88"
"Madera County, California","2,137.07"
"Marin County, California",520.31
"Mariposa County, California","1,448.82"
"Mendocino County, California","3,506.34"
"Merced County, California","1,934.97"
"Modoc County, California","3,917.77"
"Mono County, California","3,048.98"
"Monterey County, California","3,280.60"
"Napa County, California",748.36
"Nevada County, California",957.77
"Orange County, California",790.57
"Placer County, California","1,407.01"
"Plumas County, California","2,553.04"
"Riverside County, California","7,206.48"
"Sacramento County, California",964.64
"San Benito County, California","1,388.71"
"San Bernardino County, California","20,056.94"
"San Diego County, California","4,206.63"
"San Francisco County, California",46.87
"San Joaquin County, California","1,391.32"
"San Luis Obispo County, California","3,298.57"
"San Mateo County, California",448.41
"Santa Barbara County, California","2,735.09"
"Santa Clara County, California","1,290.10"
"Santa Cruz County, California",445.17
"Shasta County, California","3,775.40"
"Sierra County, California",953.21
"Siskiyou County, California","6,277.89"
"Solano County, California",821.77
"Sonoma County, California","1,575.85"
"Stanislaus County, California","1,494.83"
"Sutter County, California",602.41
"Tehama County, California","2,949.71"
"Trinity County, California","3,179.25"
"Tulare County, California","4,824.22"
"Tuolumne County, California","2,220.88"
"Ventura County, California","1,843.13"
"Yolo County, California","1,014.69"
"Yuba County, California",631.84
"Adams County, Colorado","1,167.65"
"Alamosa County, Colorado",722.64
"Arapahoe County, Colorado",798.10
"Archuleta County, Colorado","1,350.18"
"Baca County, Colorado","2,554.97"
"Bent County, Colorado","1,512.86"
"Boulder County, Colorado",726.29
"Broomfield County, Colorado",33.03
"Chaffee County, Colorado","1,013.40"
"Cheyenne County, Colorado","1,778.28"
"Clear Creek County, Colorado",395.23
"Conejos County, Colorado","1,287.39"
"Costilla County, Colorado","1,226.95"
"Crowley County, Colorado",787.42
"Custer County, Colorado",738.63
"Delta County, Colorado","1,142.05"
"Denver County, Colorado",153.00
"Dolores County, Colorado","1,067.05"
"Douglas County, Colorado",840.25
"Eagle County, Colorado","1,684.53"
"El Paso County, Colorado","2,126.80"
"Elbert County, Colorado","1,850.85"
"Fremont County, Colorado","1,533.07"
"Garfield County, Colorado","2,947.56"
"Gilpin County, Colorado",149.90
"Grand County, Colorado","1,846.33"
"Gunnison County, Colorado","3,239.10"
"Hinsdale County, Colorado","1,117.25"
"Huerfano County, Colorado","1,591.00"
"Jackson County, Colorado","1,613.72"
"Jefferson County, Colorado",764.21
